AVG(V.PERCENTAGE_PHYSICAL),AVG(V.PERCENTAGE_DIGITAL),WIDE_AREA_NAME,SUM(F.EXPENDITURE),ID_TIME,NAME
94.000000,39.000000,South West (England),2199,20232024,Arts
93.000000,31.000000,South West (England),2958,20222023,Arts
93.000000,36.000000,South East (England),2644,20232024,Arts
93.000000,38.000000,South West (England),2632,20232024,Arts
93.000000,40.000000,London,2093,20232024,Arts
93.000000,39.000000,North West (England),1231,20232024,Arts
93.000000,37.000000,South West (England),867,20232024,Arts
93.000000,40.000000,South East (England),699,20232024,Arts
93.000000,36.000000,South West (England),660,20232024,Arts
93.000000,37.000000,West Midlands (England),404,20232024,Arts
92.000000,38.000000,South East (England),2271,20232024,Arts
92.000000,37.000000,Yorkshire and The Humber,2176,20232024,Arts
92.000000,27.000000,East Midlands (England),1223,20222023,Arts
92.000000,35.000000,South East (England),992,20222023,Arts
92.000000,28.000000,South West (England),814,20222023,Arts
92.000000,37.000000,East,735,20232024,Arts
92.000000,28.000000,South West (England),660,20222023,Arts
92.000000,39.000000,London,571,20232024,Arts
92.000000,26.000000,North West (England),189,20222023,Arts
91.000000,29.000000,South East (England),3865,20212022,Arts
91.000000,28.000000,South East (England),3494,20222023,Arts
91.000000,27.000000,South East (England),3229,20222023,Arts
91.000000,37.000000,South East (England),3022,20232024,Arts
91.000000,29.000000,South West (England),2675,20222023,Arts
91.000000,29.000000,South West (England),2413,20212022,Arts
91.000000,31.000000,London,2182,20222023,Arts
91.000000,37.000000,East,1381,20232024,Arts
91.000000,26.000000,North West (England),1320,20222023,Arts
91.000000,35.000000,East,930,20232024,Arts
91.000000,31.000000,South East (England),903,20212022,Arts
91.000000,28.000000,South West (England),818,20212022,Arts
91.000000,35.000000,West Midlands (England),586,20232024,Arts
91.000000,26.000000,East,224,20222023,Arts
91.000000,29.000000,Yorkshire and The Humber,202,20222023,Arts
90.000000,39.000000,North West (England),6273,20232024,Arts
90.000000,24.000000,North East (England),2633,20222023,Arts
90.000000,30.000000,South East (England),2492,20222023,Arts
90.000000,34.000000,East Midlands (England),2313,20232024,Arts
90.000000,29.000000,South West (England),2022,20212022,Arts
90.000000,27.000000,East,1482,20222023,Arts
90.000000,35.000000,East Midlands (England),904,20232024,Arts
90.000000,29.000000,West Midlands (England),414,20222023,Arts
90.000000,27.000000,Yorkshire and The Humber,175,20212022,Arts
89.000000,29.000000,North West (England),8148,20222023,Arts
89.000000,39.000000,London,4544,20232024,Arts
89.000000,38.000000,London,4112,20232024,Arts
89.000000,27.000000,East Midlands (England),3317,20222023,Arts
89.000000,33.000000,North East (England),2868,20232024,Arts
89.000000,35.000000,East Midlands (England),2662,20232024,Arts
89.000000,29.000000,South East (England),2107,20212022,Arts
89.000000,28.000000,South East (England),1940,20212022,Arts
89.000000,24.000000,East Midlands (England),1227,20212022,Arts
89.000000,31.000000,North East (England),1200,20232024,Arts
89.000000,35.000000,North West (England),1040,20232024,Arts
89.000000,27.000000,North West (England),991,20212022,Arts
89.000000,27.000000,East,927,20222023,Arts
89.000000,32.000000,London,611,20222023,Arts
89.000000,26.000000,South West (England),267,20212022,Arts
88.000000,35.000000,North West (England),12233,20232024,Arts
88.000000,34.000000,Yorkshire and The Humber,12121,20232024,Arts
88.000000,29.000000,Yorkshire and The Humber,10559,20222023,Arts
88.000000,24.000000,East Midlands (England),2446,20222023,Arts
88.000000,30.000000,London,1972,20212022,Arts
88.000000,35.000000,Yorkshire and The Humber,1615,20232024,Arts
88.000000,25.000000,East,1316,20212022,Arts
88.000000,26.000000,North East (England),958,20222023,Arts
88.000000,23.000000,West Midlands (England),816,20222023,Arts
88.000000,34.000000,Yorkshire and The Humber,611,20232024,Arts
88.000000,24.000000,West Midlands (England),350,20212022,Arts
87.000000,29.000000,West Midlands (England),6432,20222023,Arts
87.000000,33.000000,London,6271,20222023,Arts
87.000000,26.000000,North West (England),6072,20212022,Arts
87.000000,26.000000,North West (England),5431,20212022,Arts
87.000000,37.000000,London,1740,20232024,Arts
87.000000,26.000000,North West (England),1311,20222023,Arts
87.000000,23.000000,West Midlands (England),559,20212022,Arts
87.000000,27.000000,East,259,20212022,Arts
87.000000,28.000000,London,217,20212022,Arts
86.000000,23.000000,Yorkshire and The Humber,9584,20212022,Arts
86.000000,29.000000,North West (England),7221,20222023,Arts
86.000000,34.000000,West Midlands (England),6010,20232024,Arts
86.000000,25.000000,North East (England),2662,20212022,Arts
86.000000,25.000000,East Midlands (England),2432,20212022,Arts
86.000000,25.000000,Yorkshire and The Humber,1304,20222023,Arts
86.000000,21.000000,Yorkshire and The Humber,510,20222023,Arts
86.000000,24.000000,North West (England),76,20212022,Arts
85.000000,31.000000,London,4662,20222023,Arts
85.000000,23.000000,East Midlands (England),4447,20212022,Arts
85.000000,33.000000,London,2511,20212022,Arts
85.000000,27.000000,London,1827,20212022,Arts
85.000000,23.000000,North East (England),1398,20212022,Arts
85.000000,21.000000,Yorkshire and The Humber,1203,20212022,Arts
85.000000,26.000000,East,976,20212022,Arts
85.000000,24.000000,North West (England),219,20212022,Arts
84.000000,27.000000,London,1691,20222023,Arts
83.000000,25.000000,Yorkshire and The Humber,1444,20212022,Arts
82.000000,30.000000,London,2867,20212022,Arts
80.000000,25.000000,West Midlands (England),6543,20212022,Arts
