AVG(V.PERCENTAGE_PHYSICAL),AVG(V.PERCENTAGE_DIGITAL),WIDE_AREA_NAME,SUM(F.EXPENDITURE),ID_TIME,NAME
31.000000,19.000000,London,32216,20232024,Libraries
30.000000,21.000000,London,45546,20232024,Libraries
30.000000,19.000000,London,29722,20232024,Libraries
30.000000,17.000000,London,15482,20232024,Libraries
29.000000,16.000000,South East (England),10094,20232024,Libraries
28.000000,17.000000,London,17926,20232024,Libraries
28.000000,13.000000,North West (England),10538,20232024,Libraries
27.000000,15.000000,North West (England),35241,20232024,Libraries
27.000000,13.000000,Yorkshire and The Humber,8604,20232024,Libraries
26.000000,21.000000,London,39071,20222023,Libraries
26.000000,16.000000,South East (England),26245,20232024,Libraries
26.000000,16.000000,East,22805,20232024,Libraries
26.000000,15.000000,East,16424,20232024,Libraries
26.000000,14.000000,South East (England),8505,20232024,Libraries
25.000000,16.000000,South East (England),32347,20222023,Libraries
25.000000,15.000000,South West (England),30026,20232024,Libraries
25.000000,13.000000,East,27240,20232024,Libraries
25.000000,13.000000,South East (England),22648,20232024,Libraries
25.000000,14.000000,South West (England),17168,20232024,Libraries
24.000000,15.000000,West Midlands (England),33171,20232024,Libraries
24.000000,13.000000,West Midlands (England),16768,20232024,Libraries
24.000000,13.000000,South West (England),12870,20232024,Libraries
23.000000,17.000000,London,30176,20222023,Libraries
23.000000,14.000000,East,27618,20222023,Libraries
23.000000,12.000000,East Midlands (England),26490,20232024,Libraries
22.000000,18.000000,London,30683,20222023,Libraries
22.000000,12.000000,Yorkshire and The Humber,30384,20232024,Libraries
22.000000,12.000000,North West (England),25196,20232024,Libraries
22.000000,14.000000,East,23524,20222023,Libraries
22.000000,13.000000,South East (England),20984,20222023,Libraries
22.000000,12.000000,North West (England),19884,20232024,Libraries
22.000000,16.000000,London,16604,20222023,Libraries
22.000000,12.000000,East Midlands (England),13150,20232024,Libraries
22.000000,11.000000,North West (England),11134,20232024,Libraries
22.000000,12.000000,Yorkshire and The Humber,10598,20232024,Libraries
21.000000,19.000000,London,36298,20212022,Libraries
21.000000,13.000000,South East (England),25222,20222023,Libraries
21.000000,11.000000,North East (England),19830,20232024,Libraries
21.000000,12.000000,Yorkshire and The Humber,16638,20232024,Libraries
21.000000,12.000000,North West (England),13422,20222023,Libraries
21.000000,12.000000,West Midlands (England),12771,20232024,Libraries
21.000000,14.000000,Yorkshire and The Humber,9121,20222023,Libraries
20.000000,15.000000,North West (England),34238,20222023,Libraries
20.000000,15.000000,London,22929,20222023,Libraries
20.000000,16.000000,London,21915,20212022,Libraries
20.000000,13.000000,North West (England),18818,20222023,Libraries
20.000000,13.000000,South West (England),1889,20232024,Libraries
19.000000,16.000000,South East (England),32402,20212022,Libraries
19.000000,14.000000,South West (England),28629,20222023,Libraries
19.000000,12.000000,London,15510,20212022,Libraries
19.000000,11.000000,South West (England),12029,20222023,Libraries
19.000000,11.000000,East Midlands (England),9260,20232024,Libraries
18.000000,12.000000,West Midlands (England),33155,20222023,Libraries
18.000000,16.000000,London,29479,20212022,Libraries
18.000000,17.000000,London,28562,20212022,Libraries
18.000000,13.000000,North West (England),23569,20222023,Libraries
18.000000,13.000000,East,22286,20222023,Libraries
18.000000,12.000000,West Midlands (England),15440,20212022,Libraries
18.000000,11.000000,North East (England),13577,20232024,Libraries
18.000000,11.000000,Yorkshire and The Humber,13226,20222023,Libraries
18.000000,9.000000,North West (England),6911,20222023,Libraries
17.000000,13.000000,Yorkshire and The Humber,33920,20222023,Libraries
17.000000,13.000000,North West (England),30544,20212022,Libraries
17.000000,10.000000,East Midlands (England),25899,20222023,Libraries
17.000000,12.000000,South East (England),21788,20222023,Libraries
17.000000,15.000000,South East (England),19585,20212022,Libraries
17.000000,11.000000,West Midlands (England),16546,20222023,Libraries
17.000000,12.000000,South West (England),16355,20222023,Libraries
16.000000,10.000000,East,27363,20212022,Libraries
16.000000,13.000000,East,20595,20212022,Libraries
16.000000,15.000000,East,20026,20212022,Libraries
16.000000,10.000000,South West (England),16010,20212022,Libraries
16.000000,9.000000,North East (England),13592,20222023,Libraries
16.000000,12.000000,West Midlands (England),13579,20222023,Libraries
16.000000,10.000000,North West (England),12679,20212022,Libraries
16.000000,13.000000,East Midlands (England),10870,20222023,Libraries
16.000000,10.000000,Yorkshire and The Humber,8497,20212022,Libraries
15.000000,9.000000,East Midlands (England),23911,20212022,Libraries
15.000000,11.000000,North West (England),22800,20212022,Libraries
15.000000,9.000000,North East (England),18155,20222023,Libraries
15.000000,11.000000,Yorkshire and The Humber,15490,20222023,Libraries
15.000000,9.000000,South West (England),11847,20212022,Libraries
14.000000,13.000000,South East (England),22266,20212022,Libraries
14.000000,9.000000,Yorkshire and The Humber,14184,20212022,Libraries
14.000000,12.000000,South West (England),1888,20222023,Libraries
14.000000,13.000000,South West (England),1711,20212022,Libraries
13.000000,13.000000,South West (England),26539,20212022,Libraries
13.000000,12.000000,South East (England),20308,20212022,Libraries
13.000000,10.000000,North West (England),15646,20212022,Libraries
13.000000,10.000000,West Midlands (England),13304,20212022,Libraries
13.000000,10.000000,East Midlands (England),5913,20222023,Libraries
12.000000,10.000000,West Midlands (England),32510,20212022,Libraries
12.000000,9.000000,Yorkshire and The Humber,30859,20212022,Libraries
12.000000,8.000000,Yorkshire and The Humber,11699,20212022,Libraries
12.000000,8.000000,North West (England),4235,20212022,Libraries
11.000000,9.000000,North East (England),17232,20212022,Libraries
11.000000,12.000000,East Midlands (England),12093,20212022,Libraries
11.000000,9.000000,East Midlands (England),3547,20212022,Libraries
9.000000,9.000000,North East (England),11874,20212022,Libraries
